name,neo_reference_id,is_potentially_hazardous_asteroid,absolute_magnitude_h,estimated_diameter_min,estimated_diameter_max,orbit_id,minimum_orbit_intersection,jupiter_tisserand_invariant,epoch_osculation,eccentricity,semi_major_axis,inclination,ascending_node_longitude,orbital_period,perihelion_distance,perihelion_argument,aphelion_distance,perihelion_time,mean_anomaly,mean_motion
(2016 FO13),3748480,False,22.5,84.0533402073,187.9489824394,2,.353258,3.872,2457400.5,.376738491433949,1.728661989471964,36.19449609997686,184.7565565568073,830.163339667004,1.077408479359087,84.27518828991103,2.379915499584841,2457579.691250629528,282.2937858801307,.4336495997816569
(2016 FQ13),3748483,False,23.3,58.1507039646,130.0289270043,1,.00672528,3.525,2457478.5,.7239715460822633,1.938101883781529,3.747379669662557,324.7625684731676,985.5152122894948,.5349712665152684,102.8585701239139,3.341232501047789,2457394.081076051780,30.83748707516846,.3652911649772181
(2016 FT13),3748486,False,26.9,11.0803882126,24.7765012606,3,.00808386,3.071,2457400.5,.6517149405790791,2.603514450168498,1.743063728272938,215.9450595356456,1534.399384318961,.9067651849801617,25.33863015813684,4.300263715356835,2457516.933925828807,332.6823317796266,.2346194893448717
(2016 FX13),3748489,False,26.7,12.14940408,27.1668934089,2,.000620966,5.126,2457482.5,.4941116647734065,1.213775071161741,2.799891926191194,356.3339143385244,488.4338420895962,.614034650089553,81.65359877875481,1.813515492233928,2457406.834193044122,55.76945771730401,.7370496656412336
(2016 FY13),3748496,False,23.9,44.1118199997,98.6370281305,1,.00961398,6.525,2457478.5,.4606524213373437,.8990551105496803,1.244919124278557,330.6606219415418,311.37081108797,.4849031969592568,77.70515760898758,1.313207024140104,2457398.717336862631,92.24293898678327,1.156177737862176
(2016 FA14),3748493,False,27.2,9.6506146958,21.5794304844,4,.00292963,3.857,2457400.5,.5839745065679258,1.789959247073804,4.174923060332489,189.833542890121,874.7080870834446,.7446686789871835,285.7899225297083,2.835249815160426,2457429.711509846045,347.9775393644291,.411565875880209
(2016 FK14),3748508,False,20.4,221.0828103591,494.3561926196,1,.295948,3.342,2457466.5,.4732295230964975,2.276298933979657,24.97883121857915,183.3048620431628,1254.418266244152,1.199087075027398,49.48862252337977,3.353510792931916,2457492.333255731656,352.5862271670827,.286985616909003
(2016 FS14),3748515,False,25.189,24.3643582459,54.480361266,6,.0349883,3.051,2457400.5,.6221581780847119,2.704902474207002,3.341985127374619,357.4797203011316,1624.897025230426,1.022025278957544,215.1375315343635,4.38777966945646,2457499.481561659716,338.0703874496635,.2215525011186161
(2016 FV14),3748518,False,23.678,48.8601703284,109.2546622464,3,.23521,4.067,2457400.5,.2927767556561688,1.745512971262369,11.45946700320573,188.7991184527379,842.3315109571365,1.234467346580413,8.722675462271466,2.256558595944325,2457489.653512839899,321.8971103361739,.4273851747406838
(2016 FZ14),3748547,False,21.296,146.3372793773,327.2201043299,1,.0518755,4.867,2457400.5,.2782751800347143,1.330104312574194,10.48566525249141,329.9617127856117,560.3082011526209,.9599692955276603,5.020983819186096,1.700239329620728,2457678.901320536464,181.1261673718973,.642503535124842
(2016 GF1),3748563,False,26.008,16.70917381,37.3628484871,6,.00322972,3.686,2457400.5,.507240088995411,1.985252362111945,.2556084026762875,275.0598623678531,1021.696743212229,.9782527772759324,240.4016403860177,2.992251946947958,2457449.504908657071,342.7328732975308,.3523550431101062
(2016 GG1),3748561,False,26.273,14.7895505666,33.0704404236,5,.0304303,4.261,2457400.5,.360877558484886,1.611363102387763,6.213902517032097,190.2141522966334,747.1168804792536,1.029858320165436,359.6469182394689,2.19286788461009,2457478.513881367089,322.4088304976643,.4818523170953794
(2016 FH39),3749023,False,24.258,37.4071806165,83.6449987051,1,.11636,5.109,2457479.5,.1310949824774785,1.257940365104767,3.764677287294148,311.5084313847995,515.3336556757118,1.093030694983645,141.9298365739944,1.42285003522589,2457363.483406091126,81.04647027648637,.6985765358716259
(2016 GC2),3749022,False,23.317,57.69723174,129.0149322842,3,.214723,3.415,2457482.5,.4899905390206066,2.282732959193283,10.38564613320391,18.89886013890139,1259.74049731121,1.164215406078062,131.224706833095,3.401250512308504,2457429.790188687168,15.06304839220529,.2857731419831178
(2016 GF2),3749026,False,26.632,12.5358843419,28.0310895465,4,.0105304,3.432,2457482.5,.589269364552674,2.169456664525244,7.855584004313068,193.8518441409028,1167.145220639871,.8910623143958901,50.15422666988185,3.447851014654599,2457520.243256171190,348.3582848292184,.3084449078261529
(2016 GQ2),3749062,False,20.387,222.41034133,497.3246421128,2,.18244,2.717,2457481.5,.867039900448158,2.560912426776596,11.64206368100443,226.3353651627368,1496.892175228729,.3404991712077654,177.9344787296459,4.781325682345427,2457408.846064807721,17.47314676504593,.2404982843503682
(2016 GR2),3749064,False,25.018,26.3605809101,58.9440508413,2,.132325,3.558,2457481.5,.4719409329957253,2.141975275215084,4.095344342563942,178.1013455200032,1145.038546748125,1.131089465376302,21.57862688192426,3.152861085053867,2457486.316961610883,358.4855477705596,.3143998959881211
(2016 GT221),3752009,False,23.339,57.1156306668,127.7144327488,1,.146861,5.056,2457493.5,.1354075265311553,1.269058142364978,12.3220789338371,201.7847567320158,522.1805685158898,1.097218118283114,302.3278182578335,1.440898166446843,2457430.369505965322,43.5232163408097,.6894166916688805
(2016 GU221),3752010,False,20.324,228.9575539063,511.9646544966,3,.273532,4.115,2457494.5,.3253648190385204,1.698833027876891,13.23606581387601,11.48528619349633,808.7689516262952,1.146092527185065,272.31671625,2.251573528568718,2457592.987996836086,316.1609297813724,.4451209449572736
(2016 GA222),3752016,False,20.022,263.1206762164,588.3557183056,2,.126378,3.985,2457400.5,.4594335400497478,1.715592235755682,21.0015776829449,207.7361527669701,820.7663352421825,.9273916216005877,250.8565243126251,2.503792849910777,2457330.844244903693,30.55202285711586,.4386144808117346
(2016 HE),3752097,False,22.041,103.8376800703,232.1881112632,1,.293823,3.603,2457495.5,.3901873170961356,2.116647361546589,12.90129162362581,43.18546325869129,1124.7893386144,1.290758406306111,206.766492763468,2.942536316787066,2457543.991006747545,344.4799716446275,.3200599326834613
(2016 HL),3752106,True,19.893,279.2254352681,624.3670543064,1,.00781064,3.806,2457498.5,.6141704817186036,1.806725543346553,5.1390694244162,232.8918966541852,887.0267230178559,.6970880460560946,251.8949021357262,2.916363040637011,2457442.650910509637,22.66636584310206,.4058502305039948
(2015 YQ10),3739081,False,27.0,10.5816885933,23.6613750114,2,.0156183,5.088,2457400.5,.214973619059601,1.249721615507904,15.00165470323194,268.1532150465423,510.2915175306609,.9810644370051587,152.933876574516,1.518378794010649,2457352.797503047314,33.65311456884098,.7054790989708533
(2015 YC18),3739151,False,25.2,24.2412481101,54.2050786336,3,.0515719,4.771,2457390.5,.3263213439755254,1.366954172082708,5.431119705305392,58.06876880955436,583.7533140508164,.9208878494957268,78.70271952760604,1.813020494669689,2457421.924201276162,340.6207310740277,.616698854353162
(2015 YV20),3740833,False,22.227,95.3136226981,213.1277395346,5,.049234,5.508,2457385.5,.06339944174882453,1.131502704953365,12.19626000318114,67.95212087069034,439.6244334404214,1.059766065122037,165.7579668583863,1.203239344784694,2457548.669304045014,226.3837926465802,.8188807823593994
(2016 AG2),3739156,False,23.7,48.3676488219,108.1533506775,4,.0859387,5.099,2457400.5,.20913459205682,1.242019765994919,17.7477861229426,286.3831214633433,505.5815162386739,.9822704689070645,117.9787475077127,1.501769063082773,2457333.298503512630,47.85091613996519,.7120513476803055
(2016 AK2),3739169,False,21.9,110.8038821264,247.7650126055,9,.135891,4.478,2457392.5,.2377297162506717,1.464142881156648,26.22506210005414,97.14144404484888,647.1033039525046,1.116072609468837,10.47457036983059,1.812213152844458,2457397.128917920831,357.4248154176918,.5563253931808435
(2016 AL2),3739166,False,22.9,69.9125232246,156.3291544087,10,.283975,4.155,2457400.5,.2586715333004463,1.702763258600791,5.773350892871554,84.56134045058357,811.5771908088977,1.26230687565086,30.77032058254525,2.143219641550723,2457406.497717354627,357.3395281778264,.4435807266110923
(2016 AM2),3739170,False,26.9,11.0803882126,24.7765012606,2,3.26804E-5,3.747,2457390.5,.5454384132925786,1.902377499497363,3.073269340516488,94.85863859512582,958.3926575927469,.8647477346880181,311.0819293361801,2.940007264306708,2457348.938781619440,15.61159562155105,.3756289211399364
(2016 AN2),3739168,False,24.1,40.2304579834,89.9580388169,4,.0254451,4.160,2457398.5,.550008899666741,1.606444440290619,7.307528601064408,94.12277957912806,743.6986474456506,.722885701310622,272.4333080665504,2.490003179270616,2457318.683408770545,38.63658074583721,.4840670360723074
(2016 AK8),3739216,False,21.8,116.0259082094,259.4418179074,6,.202843,4.541,2457390.5,.1876858571800573,1.45055192559293,23.14798481691476,251.5881920738405,638.1141083481234,1.178303844053838,200.2757846304481,1.722800007132022,2457402.202260016282,353.3980246624429,.5641624206239957
(2016 AO8),3739218,False,24.0,42.1264610556,94.1976305719,5,.107384,2.995,2457392.5,.6134442286882565,2.818917803943956,8.606700393838933,88.90564508650512,1728.709607892859,1.089668945967962,7.350524470863797,4.548166661919951,2457388.599210782496,.8123308344500587,.2082478158022199
(2016 AR8),3739221,False,25.5,21.113244479,47.2106498806,2,.101244,4.324,2457392.5,.3291472407737041,1.574264081545767,11.3616978711634,282.3840197360186,721.4642352165727,1.056099402855828,145.8067625313038,2.092428760235705,2457356.881586441743,17.77306241261337,.4989852336781925
(2016 AT8),3739222,False,23.9,44.1118199997,98.6370281305,4,.146459,5.158,2457400.5,.1254667148996016,1.239691850083713,7.212230502911708,108.0161691672372,504.1607663927159,1.0841517861659,284.6586179509134,1.395231914001526,2457311.188129669314,63.77385045071502,.7140579434131892
(2016 AW8),3739242,False,24.8,29.1443904535,65.1688382168,4,.066229,3.209,2457392.5,.5823010583731079,2.48348085716588,7.384285953351013,96.62756896343775,1429.518078388797,1.037347325588835,336.5917265957893,3.929614388742925,2457368.042238026500,6.159274544036434,.2518331215550307
(2016 AC9),3739248,False,23.5,53.0340723319,118.5877908577,6,.0772377,4.454,2457400.5,.3121750542067645,1.512019992011311,8.709949408665146,281.0015084101819,679.1015583803181,1.040005069043469,148.4016957499379,1.984034914979154,2457362.119382841737,20.34603220456262,.5301121688759087
(2016 AF9),3739256,False,22.2,96.5061469579,215.7943048444,6,.0645196,2.618,2457394.5,.9027192216117034,2.518628537634431,22.67643051467991,97.16323704704507,1459.972268666873,.2450141446120547,224.3369224345143,4.792242930656808,2457342.662837451579,12.782008890122,.246580026022496
(2016 AH9),3739258,False,25.0,26.58,59.4346868419,3,.00934676,4.065,2457394.5,.5555800874761528,1.664958866242985,2.990575806251115,102.3288071896557,784.7000668245045,.739940873691511,277.2452200339882,2.589976858794458,2457332.426730924886,28.47760285974173,.4587740147096391
(2016 AJ9),3739259,False,24.6,31.9561886721,71.4562101727,5,.1216,3.188,2457394.5,.5661297482341339,2.527295838920168,10.63505299713018,102.7263745231938,1467.51500448304,1.096518481919119,341.8733719414802,3.958073195921216,2457374.183359818450,4.983928915898542,.2453126536357404
(2016 AL9),3739260,False,24.6,31.9561886721,71.4562101727,8,.142963,3.633,2457400.5,.4548244704648208,2.062906597515573,7.915167913644176,291.8261256269466,1082.225528113785,1.124646196682167,169.6903043782507,3.001166998348979,2457386.311977279237,4.719615317499515,.3326478544887453
(2016 AM9),3739261,False,21.5,133.2155666981,297.8790627982,4,.351408,4.550,2457400.5,.1341691977367397,1.426844187957966,29.5589395312553,99.47115280019648,622.5342538158651,1.235405647964316,286.7381636531073,1.618282727951617,2457289.537403228194,64.16760940140303,.578281432376381
(2016 AN9),3739263,False,26.8,11.6025908209,25.9441817907,3,.0195745,3.725,2457392.5,.4998935524146706,1.943714277458743,8.05322827775738,99.89088349635263,989.799121506588,.9720640424207774,28.13099047306716,2.915364512496709,2457412.426148384270,352.7526573195797,.3637101631814328
(2016 AU9),3739264,False,25.4,22.1082810359,49.435619262,6,.075631,3.556,2457398.5,.5013338088912054,2.123623959536705,1.150105206505777,103.1575383410772,1130.354979246027,1.058979471249546,2.699944113996578,3.188268447823865,2457394.079982410072,1.407704979046009,.3184840219309941
(2016 AV9),3739265,False,25.2,24.2412481101,54.2050786336,4,.040862,3.211,2457394.5,.6000821953092866,2.465630662844449,2.454326467894257,59.9007560742101,1414.133662170964,.9860496018628603,82.43146486435911,3.945211723826036,2457423.756921200319,352.5519829462616,.2545728240761425
(2016 AW64),3739379,False,23.0,66.7659413495,149.2931834393,8,.0749776,3.345,2457398.5,.6122642321977773,2.241313486372666,9.438311501172318,280.5754437169291,1225.610106147663,.8690374055241824,256.321954045602,3.613589567221149,2457445.868200469417,346.0864788210749,.2937312593901104
